id,predict_label,prob_extrinsic,prob_no,prob_intrinsic
ef35e7a1-766f-4455-b349-09084a1f56ba,no,0.010469247,0.97871315,0.01081755
85aac4aa-e53c-4d01-bdcf-e8b27a2cd9bc,intrinsic,0.0027665806,0.0011920779,0.9960413
cd056e1b-51f6-4adf-939c-e742645437bf,intrinsic,0.009501566,0.01258969,0.9779088
6cc80aa4-44db-4366-8cb6-16453aa8ecbf,intrinsic,0.049494535,0.0044716294,0.94603384
948849cb-0c83-4dc1-b5ae-aaa585a8d528,intrinsic,0.009018377,0.0019705791,0.98901105
ac4bb2b6-5a6c-41e9-af82-059cd05c757f,extrinsic,0.9496101,0.015178857,0.03521103
70edcfef-a1ff-4e0d-a7ed-06903f78bddb,intrinsic,0.009660193,0.0028897026,0.9874501
cb9bb593-123e-44a6-8470-684e1f6f5a91,no,0.0058355215,0.9675561,0.02660844
f1f98140-1a32-4364-9ecf-8613b21d6301,no,0.0035358905,0.99057955,0.005884615
681ad3ef-40d8-432d-a785-326687b3e0a2,extrinsic,0.9729854,0.002259575,0.024755027
2414777b-ee45-485a-93dd-ad836fe7b2e5,no,0.014674989,0.8735498,0.111775264
38512c11-3053-41b1-85e6-c71d30bfb052,intrinsic,0.036560737,0.0019450658,0.9614942
c3f7b2c5-2bfe-43ff-b174-fa964c4a10f7,extrinsic,0.8581249,0.0108576715,0.13101742
b92d4a02-6d28-45f3-bd74-ad791ca812ad,intrinsic,0.081927605,0.005683396,0.9123889
3ab8ad4b-08ba-47c1-a528-c7853c6fc1e3,extrinsic,0.9616107,0.0032494357,0.035139963
972d6eb5-d0d6-412e-a2f1-9684d6043aa4,no,0.015196991,0.9513635,0.03343947
e3eaf887-bdae-409c-9eca-73a0c312632a,intrinsic,0.37052542,0.058120683,0.5713539
37f0e8cd-c00d-4b30-9c6e-0fc1931afc61,no,0.020469967,0.8649541,0.114575945
73314787-848f-423e-af19-78d0e86938fb,intrinsic,0.014142499,0.0016410585,0.9842165
37c97670-bf9b-4ddd-b450-a9150bf00328,no,0.42771205,0.47840887,0.093879074
a11233d9-5ffe-4694-a21b-938b8243e8fc,no,0.17938857,0.77298874,0.047622748
b15b9bb9-84b5-41d8-beac-43376d807823,extrinsic,0.97646755,0.0024356528,0.021096792
5dea7ec2-2a8c-425f-b299-dbf0a8dca8a6,extrinsic,0.9140669,0.0062995204,0.07963359
240f514e-a5ad-441f-b443-315ad09cf1d7,intrinsic,0.0042434945,0.0018960687,0.99386036
ebcfbb4c-8d88-4b7a-99f9-8fb033acd1ef,extrinsic,0.9631005,0.005402553,0.031497
c1ae2455-05c8-47e3-bfa1-1f1a66ec7e9d,intrinsic,0.007215973,0.004240462,0.9885436
50fbc7a0-124c-4eeb-b5e4-78339314eef1,no,0.1060307,0.8544164,0.039552946
7923d1cd-8ec1-4860-9009-89cf48b15beb,extrinsic,0.91943616,0.0054225135,0.0751413
c8f77844-d0c5-44f7-8926-646fa8097703,intrinsic,0.011330645,0.002069581,0.9865998
4a30c070-ac21-4432-94ae-0ac778f37982,extrinsic,0.9158147,0.013694792,0.07049062
54cd2cb9-ff1a-4dbf-928c-babf065f8664,no,0.06745265,0.8523789,0.08016842
bb4ff75a-461b-4843-ab56-ee000781fcd3,no,0.033076726,0.9532563,0.013666907
a7a79883-f042-44a5-9a3a-9181caa5113c,intrinsic,0.010182385,0.0019700036,0.98784757
db621a38-fd23-4a98-97d1-5f7e37d5bcd5,extrinsic,0.95322794,0.0064406795,0.040331397
a7e11050-1f7a-4d13-adc1-20247a0bcef6,no,0.00423689,0.9823455,0.013417656
74726714-41f2-4948-9cc9-b01731d663de,intrinsic,0.009315464,0.34219655,0.6484879
56576b55-67f3-40a5-9eaa-52ed855c7b41,no,0.007002878,0.9827215,0.0102756005
e599238e-0fba-4225-92b9-9823fb4b98b4,intrinsic,0.0059898486,0.0034935179,0.9905166
ca7ddabb-c4ce-48d3-a653-8fd31258f532,intrinsic,0.01289913,0.0011253896,0.98597544
16ad0c8c-218a-4b77-975f-81be21d61460,no,0.08986217,0.8822045,0.027933449
89b9889c-e06e-41bf-ade5-61c9701fee37,no,0.015037114,0.9483319,0.03663104
3cf0e6bb-0bdd-40a6-b91e-cdcd92f0f10d,no,0.0044477372,0.9863348,0.009217442
63b53a04-1934-4077-bfce-5da9c5efc24e,intrinsic,0.015371172,0.001339558,0.9832893
1f648a7f-d656-462b-84f3-0dcc7af15fab,intrinsic,0.44722793,0.010140516,0.54263157
7ad6b02d-ec91-4369-a9de-e05eb24cea58,no,0.014117989,0.97670734,0.009174642
b85a0468-b43e-423d-89f8-24dbbacb26d5,intrinsic,0.0058657923,0.0011402887,0.9929939
fba58b12-8e87-4f32-bfcc-a544623d67e3,intrinsic,0.035037257,0.01037177,0.95459104
22d6b6da-30a4-49dc-9215-d296bf605c9f,intrinsic,0.12898716,0.0037175315,0.8672953
345f8a38-a671-4ba0-8002-69ec6c48ffb9,extrinsic,0.6639012,0.008975141,0.32712367
ae9cb661-d85d-4953-a7c8-760584b0f272,extrinsic,0.9681102,0.0024757925,0.029413955
0468ded3-907e-4fba-9098-f706f468e733,no,0.01445312,0.97714627,0.008400619
6da9f1e6-8073-40f3-956f-01697939c5bc,intrinsic,0.01399177,0.3417846,0.6442237
f6486f4f-dcfe-43ef-a4cc-c64c8bf7921d,no,0.011121719,0.97761756,0.011260714
e7baa793-36ce-4ed0-a108-e28b0113ea3b,no,0.005203406,0.98847884,0.0063177566
018cc4f2-02fa-4fc2-9c60-f6d603113679,extrinsic,0.5245968,0.033765834,0.44163737
59218c91-885b-4f94-9bb9-2a551ca60703,extrinsic,0.977572,0.0064649526,0.015963044
b1c4bef5-135b-4d8e-9298-fa7a3c697305,intrinsic,0.29675487,0.010334057,0.6929111
1721ccf6-7fe9-4858-8bc0-93354e0218cf,no,0.014852396,0.94245434,0.04269331
0cbac74a-5294-4489-822f-3f777ce410b4,extrinsic,0.91982925,0.02378843,0.05638238
5ac9a6de-72a8-4488-9fba-f1fe54509dae,intrinsic,0.004150176,0.0029912204,0.99285865
84063fa1-9169-458d-9442-2d959ca8cde2,extrinsic,0.9059431,0.020905567,0.073151305
036c42e2-b52a-4af1-9c60-85299f014993,no,0.042399846,0.9493896,0.008210639
7c4edd19-c52d-4f9f-9da7-dd44d444a0b3,no,0.03405158,0.7855366,0.18041183
b331ea20-42c9-44d0-b18e-c4a613ad2521,no,0.013873177,0.9766931,0.009433701
03ab9f85-646e-4cc8-8147-3ebf17cf8065,extrinsic,0.9001313,0.004113409,0.09575535
bbd88b5d-3a86-4205-91d3-583b458a5248,extrinsic,0.8454284,0.0062377406,0.14833385
cc589b75-3ba5-47d5-bc12-f612729d2e95,intrinsic,0.01590212,0.0027877756,0.9813101
0b78143e-f547-47ef-8865-e8efa8fa8047,extrinsic,0.7858846,0.016650656,0.19746464
3ca07882-ae86-4574-bccc-161a28cb404c,intrinsic,0.012233699,0.15065603,0.8371102
0baaafbb-b6ae-4e40-a49c-4260a9af5524,intrinsic,0.022335866,0.0011925021,0.9764716
58cf76c1-435d-4c90-85e9-9734bee59d5f,intrinsic,0.018793697,0.30828705,0.6729192
b5f1fa4e-3724-419a-b443-980b5239b34c,no,0.0034538745,0.9890295,0.0075165224
c832bedc-c942-4ddc-a24f-c41d7b714ead,extrinsic,0.9749195,0.0016986097,0.023381889
c3730ea9-4404-42e5-9ffa-694cc013c0c4,extrinsic,0.9017068,0.0032360537,0.09505721
9a89bcd8-2ff9-47b4-ac64-e242215b9aeb,no,0.026937528,0.8781856,0.09487683
fe67a3a8-c077-405e-9515-1d947a530db7,extrinsic,0.8044733,0.0029078864,0.19261879
015a0078-6e1c-45d0-823e-1acb883d77b7,extrinsic,0.9749513,0.0024881524,0.022560548
a6951449-8fb2-404e-bd5d-837c3c58a7c1,extrinsic,0.96117294,0.012656086,0.02617091
dc7f2f33-ac49-476a-b8bf-a10066469d7e,extrinsic,0.67298347,0.009122184,0.31789437
