id,predict_label,prob_intrinsic,prob_no,prob_extrinsic
ef35e7a1-766f-4455-b349-09084a1f56ba,no,0.047839567,0.9109458,0.04121473
85aac4aa-e53c-4d01-bdcf-e8b27a2cd9bc,intrinsic,0.9671778,0.0015242689,0.031297956
cd056e1b-51f6-4adf-939c-e742645437bf,no,0.01002442,0.9527882,0.037187386
6cc80aa4-44db-4366-8cb6-16453aa8ecbf,intrinsic,0.97054696,0.001815886,0.027637182
948849cb-0c83-4dc1-b5ae-aaa585a8d528,intrinsic,0.89282835,0.012104287,0.095067434
ac4bb2b6-5a6c-41e9-af82-059cd05c757f,extrinsic,0.030223902,0.004332156,0.9654439
70edcfef-a1ff-4e0d-a7ed-06903f78bddb,intrinsic,0.9910155,0.0009502735,0.008034202
cb9bb593-123e-44a6-8470-684e1f6f5a91,no,0.008650344,0.96471846,0.026631242
f1f98140-1a32-4364-9ecf-8613b21d6301,no,0.004808817,0.98694336,0.008247801
681ad3ef-40d8-432d-a785-326687b3e0a2,extrinsic,0.025111796,0.0033490108,0.97153914
2414777b-ee45-485a-93dd-ad836fe7b2e5,no,0.033576764,0.92107725,0.045345914
38512c11-3053-41b1-85e6-c71d30bfb052,intrinsic,0.9383146,0.0047578802,0.056927398
c3f7b2c5-2bfe-43ff-b174-fa964c4a10f7,extrinsic,0.07381826,0.008551112,0.91763055
b92d4a02-6d28-45f3-bd74-ad791ca812ad,intrinsic,0.8511402,0.007162966,0.14169692
3ab8ad4b-08ba-47c1-a528-c7853c6fc1e3,extrinsic,0.16201201,0.017148107,0.8208398
972d6eb5-d0d6-412e-a2f1-9684d6043aa4,intrinsic,0.76298606,0.161749,0.07526501
e3eaf887-bdae-409c-9eca-73a0c312632a,intrinsic,0.9290064,0.008874469,0.062119227
37f0e8cd-c00d-4b30-9c6e-0fc1931afc61,no,0.0129016545,0.95223427,0.034864
73314787-848f-423e-af19-78d0e86938fb,intrinsic,0.9297284,0.0042115496,0.06606014
37c97670-bf9b-4ddd-b450-a9150bf00328,extrinsic,0.022393482,0.012121677,0.9654848
a11233d9-5ffe-4694-a21b-938b8243e8fc,extrinsic,0.015229926,0.006909232,0.97786087
b15b9bb9-84b5-41d8-beac-43376d807823,extrinsic,0.057524752,0.009522907,0.9329523
5dea7ec2-2a8c-425f-b299-dbf0a8dca8a6,extrinsic,0.09095698,0.0099588055,0.89908427
240f514e-a5ad-441f-b443-315ad09cf1d7,intrinsic,0.9553567,0.0077055446,0.03693775
ebcfbb4c-8d88-4b7a-99f9-8fb033acd1ef,extrinsic,0.024168156,0.003376226,0.97245556
c1ae2455-05c8-47e3-bfa1-1f1a66ec7e9d,intrinsic,0.94564086,0.0067801876,0.047578976
50fbc7a0-124c-4eeb-b5e4-78339314eef1,no,0.023794182,0.9565697,0.01963623
7923d1cd-8ec1-4860-9009-89cf48b15beb,extrinsic,0.11082295,0.0037378569,0.88543916
c8f77844-d0c5-44f7-8926-646fa8097703,intrinsic,0.9083218,0.0037949618,0.08788324
4a30c070-ac21-4432-94ae-0ac778f37982,extrinsic,0.03825316,0.0060694776,0.95567733
54cd2cb9-ff1a-4dbf-928c-babf065f8664,no,0.032692824,0.9110773,0.05622986
bb4ff75a-461b-4843-ab56-ee000781fcd3,no,0.032471623,0.90931696,0.058211517
a7a79883-f042-44a5-9a3a-9181caa5113c,intrinsic,0.95072997,0.006486581,0.04278348
db621a38-fd23-4a98-97d1-5f7e37d5bcd5,extrinsic,0.03822164,0.005157101,0.9566213
a7e11050-1f7a-4d13-adc1-20247a0bcef6,no,0.0322325,0.92901164,0.038755804
74726714-41f2-4948-9cc9-b01731d663de,intrinsic,0.5984052,0.25452,0.14707477
56576b55-67f3-40a5-9eaa-52ed855c7b41,no,0.06268232,0.78106743,0.15625018
e599238e-0fba-4225-92b9-9823fb4b98b4,intrinsic,0.9815926,0.0017917722,0.016615637
ca7ddabb-c4ce-48d3-a653-8fd31258f532,intrinsic,0.9883823,0.0019820633,0.009635666
16ad0c8c-218a-4b77-975f-81be21d61460,no,0.013630959,0.9559932,0.030375894
89b9889c-e06e-41bf-ade5-61c9701fee37,no,0.0043356214,0.9765351,0.019129302
3cf0e6bb-0bdd-40a6-b91e-cdcd92f0f10d,no,0.0068589114,0.9713011,0.02183995
63b53a04-1934-4077-bfce-5da9c5efc24e,intrinsic,0.9964772,0.0007303865,0.0027924022
1f648a7f-d656-462b-84f3-0dcc7af15fab,intrinsic,0.86453456,0.012491921,0.12297353
7ad6b02d-ec91-4369-a9de-e05eb24cea58,extrinsic,0.116587795,0.28107056,0.60234165
b85a0468-b43e-423d-89f8-24dbbacb26d5,intrinsic,0.9831319,0.0021121118,0.014756009
fba58b12-8e87-4f32-bfcc-a544623d67e3,intrinsic,0.9721397,0.0035367224,0.024323665
22d6b6da-30a4-49dc-9215-d296bf605c9f,extrinsic,0.13466181,0.006272754,0.8590654
345f8a38-a671-4ba0-8002-69ec6c48ffb9,extrinsic,0.36081952,0.08502556,0.55415493
ae9cb661-d85d-4953-a7c8-760584b0f272,extrinsic,0.012874583,0.0024799882,0.9846454
0468ded3-907e-4fba-9098-f706f468e733,no,0.005687707,0.98613167,0.008180563
6da9f1e6-8073-40f3-956f-01697939c5bc,intrinsic,0.98058736,0.00494276,0.01446992
f6486f4f-dcfe-43ef-a4cc-c64c8bf7921d,no,0.045178093,0.86336553,0.091456376
e7baa793-36ce-4ed0-a108-e28b0113ea3b,no,0.08307595,0.7832485,0.13367553
018cc4f2-02fa-4fc2-9c60-f6d603113679,extrinsic,0.27210853,0.27806786,0.44982365
59218c91-885b-4f94-9bb9-2a551ca60703,extrinsic,0.0050958428,0.00082652067,0.9940777
b1c4bef5-135b-4d8e-9298-fa7a3c697305,extrinsic,0.028543442,0.011170427,0.9602861
1721ccf6-7fe9-4858-8bc0-93354e0218cf,no,0.080140546,0.78335345,0.13650595
0cbac74a-5294-4489-822f-3f777ce410b4,extrinsic,0.035975456,0.007788101,0.9562364
5ac9a6de-72a8-4488-9fba-f1fe54509dae,intrinsic,0.99674964,0.00054295716,0.0027072984
84063fa1-9169-458d-9442-2d959ca8cde2,extrinsic,0.0028528557,0.0003222728,0.99682486
036c42e2-b52a-4af1-9c60-85299f014993,no,0.023542149,0.9074421,0.069015756
7c4edd19-c52d-4f9f-9da7-dd44d444a0b3,no,0.019125056,0.95083123,0.030043652
b331ea20-42c9-44d0-b18e-c4a613ad2521,no,0.08641025,0.8586987,0.054890964
03ab9f85-646e-4cc8-8147-3ebf17cf8065,extrinsic,0.010598639,0.0005837699,0.9888176
bbd88b5d-3a86-4205-91d3-583b458a5248,extrinsic,0.0050355853,0.00089340063,0.99407095
cc589b75-3ba5-47d5-bc12-f612729d2e95,extrinsic,0.08244244,0.014395931,0.90316164
0b78143e-f547-47ef-8865-e8efa8fa8047,extrinsic,0.1588556,0.019752018,0.8213924
3ca07882-ae86-4574-bccc-161a28cb404c,intrinsic,0.97303504,0.0027817686,0.024183175
0baaafbb-b6ae-4e40-a49c-4260a9af5524,intrinsic,0.9698279,0.0017908951,0.028381195
58cf76c1-435d-4c90-85e9-9734bee59d5f,no,0.062378824,0.84650266,0.09111844
b5f1fa4e-3724-419a-b443-980b5239b34c,no,0.014098883,0.9612027,0.02469843
c832bedc-c942-4ddc-a24f-c41d7b714ead,extrinsic,0.027915757,0.018812006,0.9532722
c3730ea9-4404-42e5-9ffa-694cc013c0c4,extrinsic,0.042701732,0.0029924547,0.9543058
9a89bcd8-2ff9-47b4-ac64-e242215b9aeb,no,0.0158563,0.9598549,0.024288833
fe67a3a8-c077-405e-9515-1d947a530db7,extrinsic,0.12791222,0.005930504,0.86615723
015a0078-6e1c-45d0-823e-1acb883d77b7,intrinsic,0.7357446,0.0030133391,0.2612421
a6951449-8fb2-404e-bd5d-837c3c58a7c1,intrinsic,0.61054325,0.025524247,0.36393252
dc7f2f33-ac49-476a-b8bf-a10066469d7e,intrinsic,0.8165301,0.0175807,0.16588922
1cecd0c0-4d5d-4ae4-9aff-fff48a3914d3,no,0.0071291244,0.9811643,0.011706691
c406f8a1-8d82-47ff-bec2-0c021a5510dc,extrinsic,0.15242834,0.0112717,0.83629996
72adb292-b7a1-4987-b53f-31bc1b510897,no,0.010229472,0.9769306,0.01283996
6c499a21-f174-4c5f-8e3c-3ff2bfb47e14,no,0.0070357453,0.97396356,0.019000629
a02a0ff9-47b4-4001-955f-6d181ca717c2,intrinsic,0.9401415,0.0014486904,0.05840982
77ba2f48-4c27-4c38-98f2-89fd1288fe29,intrinsic,0.99771523,0.00023608765,0.002048659
ec5c6cdf-1cf9-454f-a75a-8336784a6643,extrinsic,0.029979326,0.005505065,0.96451557
dbe35a1e-77dd-4995-8e7a-4d004b0976c0,intrinsic,0.88372964,0.011034796,0.10523565
bcb6cdd2-3d35-4d0d-b8dd-ffa8b500518f,intrinsic,0.99940026,6.687615e-05,0.0005329463
